id,position1,position2,position3,position4,position5,position6,position7,position8,position9,position10,position11,position12,position13,position14,position15,position16,position17,position18,position19,position20,position21,position22,position23,position24,position25,position26,position27,position28,position29,position30,xlabel,ylabel
79,-72.66666667,-68.4,-57,-65,-54,-36.8,-61.4,-67,-57.4,-74.2,-59.8,-54.2,-69.6,-57,-69.4,-65.4,-54.2,-37,-61.4,-66.8,-57.6,-74.4,-60.2,-54.4,-53.6,-61.6,-54,-73.4,-78.5,-67.2,16.95,15.4
80,-74.4,-67,-63.6,-66.4,-50.8,-37.6,-61.4,-67,-58.2,-78.6,-57,-61.2,-72,-64,-69.8,-66.6,-50.4,-37.6,-61.2,-66.2,-57.8,-76.8,-57,-61.8,-53.8,-64.4,-44.6,-73.4,-81,-58.2,16.95,16
81,-74.2,-74.6,-63.8,-62.2,-50.2,-40.2,-59.8,-66.4,-62.6,-80,-61,-59.6,-76.4,-64.2,-68,-62,-50.4,-40.2,-59.6,-66,-61.6,-75.8,-61,-59.4,-57.8,-63.8,-47,-75.66666667,-73.2,-62,16.95,16.6
82,-70.6,-71.6,-61.6,-65,-50.4,-41.8,-57.4,-70.8,-62.6,-75.2,-57.4,-57,-72.2,-61.8,-70,-64.6,-50.4,-41,-57.6,-71.4,-63,-74.2,-57.4,-57.2,-59.2,-63.6,-43,-70,-72,-69,16.95,17.2
83,-78.4,-70.6,-61.2,-66.2,-51.2,-44,-61,-67.8,-61.2,-73.4,-60.8,-54.4,-71.8,-61.4,-73.6,-65.6,-51,-44,-61.2,-66.4,-61.6,-74.6,-60.6,-54.2,-56.6,-65.2,-43.4,-72,-74.8,-62.2,16.95,17.8
84,-70.6,-70,-62.8,-61.6,-48.6,-40,-58.2,-66.8,-60.4,-70.4,-64,-54.6,-72.4,-63.4,-74.4,-61.8,-48.4,-42.2,-58.6,-66.6,-60.2,-70.6,-64.4,-54.6,-58.6,-62.4,-41.8,-73.6,-75,-62.8,16.95,18.4
85,-74.4,-73,-62.6,-67.8,-54.6,-42.2,-62,-77,-62.2,-70.6,-61.2,-58.2,-73,-63,-71.4,-67.6,-54.6,-42.6,-62,-76.8,-62.2,-69.2,-61,-58.6,-50.8,-65.8,-51.8,-69.6,-72,-59,16.95,11.8
86,-70,-73,-63.4,-59,-49,-44,-58,-59.2,-61.6,-67.8,-65.4,-65.2,-75.8,-63.4,-75,-59.2,-48.8,-43,-58,-59,-61,-68,-65.8,-65.4,-57,-61.2,-41.8,-75,-71,-66.4,16.95,19
87,-74,-75,-63.2,-58.2,-53.8,-42.8,-56,-57.8,-61.8,-68,-63.6,-61.4,-74,-62.8,-74.6,-58.4,-53.8,-42.4,-57.4,-57.8,-62.6,-67.6,-63.6,-61.4,-55.4,-65.8,-48.6,-71,-66.6,-59.6,16.95,19.6
88,-78,-81,-63.6,-57.8,-52.2,-43.4,-59.4,-65,-61,-67.2,-63.4,-56.2,-78.6,-63.4,-75,-57.8,-52,-44.6,-59.2,-64.8,-61,-67.6,-63.4,-56.4,-59,-66.4,-42,-70.2,-65.75,-63.6,16.95,20.2
89,-73.33333333,-84,-66.4,-55.4,-51,-44,-65.2,-63.4,-62.6,-69.8,-65.8,-59.8,-81,-65.8,-77.4,-55,-51,-43.6,-65.2,-63.6,-60.6,-70,-66,-60,-63.4,-65.6,-41.4,-72.2,-68.2,-63.8,16.95,20.8
90,-77.5,-86.2,-62.6,-58.6,-50.4,-43.2,-60.6,-68,-64.2,-73.4,-63.4,-55.2,-85.6,-62.8,-76.2,-58.6,-50.4,-53,-60.6,-67.6,-63.8,-73.2,-63,-55.2,-64,-62,-38.4,-73.75,-71,-65.6,17.58,21.4
91,-68.6,-72.4,-61.6,-67,-54.8,-37.8,-64,-71.6,-58.2,-73.8,-54.8,-59,-71.6,-61.4,-75,-66.8,-55.2,-38.8,-64.2,-69.6,-58.6,-73.6,-54.8,-59.2,-56.8,-66.4,-51.2,-72.2,-72,-66.8,17.58,12.4
92,-73,-80.4,-62.2,-67.8,-57.6,-43.4,-60.4,-76,-64.6,-70.8,-65.4,-55.8,-81,-62.8,-80.2,-68.4,-57.8,-43,-60.6,-70,-64.4,-71,-64.8,-56,-53.6,-63,-45.6,-67.6,-70,-61.6,17.58,11.2
93,-69.4,-64.2,-61,-68.2,-55.6,-37.6,-64.6,-69.4,-57.4,-72,-46.8,-55.6,-65.4,-62.6,-76.8,-69.8,-55.6,-38.4,-65,-71.2,-57.6,-71.8,-46.6,-56.2,-58.8,-68,-57.6,-70,-75.5,-69.2,17.58,13
94,-70.8,-67.8,-60.4,-64.2,-50,-37,-59,-71.2,-56.2,-68.2,-44.6,-53.8,-70.2,-63.2,-70.4,-64,-49.8,-36.8,-59,-72.8,-57,-68.4,-44.6,-53.4,-59.6,-63.8,-51.6,-66,-78,-65.4,17.58,13.6
